293.163866 666.292861 74.790307 386.418351 875.901421 1 478.336671
113.463918 50.730473 791.069586 775.027558 82.397235  1 583.021114
388.936440 797.287904 991.881082 355.067699 152.736519 1 639.852212
266.123622 267.526412 869.882439 991.863350 536.731813 1 789.517982
764.915739 800.767893 721.768847 432.564304 61.885623 1 548.420298
421.019167 830.295807 197.717394 569.715048 112.081669 1 920.908246
493.971524 716.014261 576.463046 248.318011 288.738496 1 865.614731
278.970951 731.523709 14.932412 98.856864 136.675930 1 934.838649
605.444999 660.830694 311.181311 620.445521 903.151255 1 695.935503
657.537048 979.488690 965.399486 45.605614 280.619277 1 220.682128
214.647349 959.345451 281.056034 366.383276 6.558067 1 926.701697
256.454963 752.006985 76.096749 421.213112 624.919800 1 128.499506



