293.164   113.464   388.936   266.124   764.916   421.019   493.972   278.971   605.445   657.537   214.647   256.455   1   666.293   
50.7305   797.288   267.526   800.768   830.296   716.014   731.524   660.831   979.489   959.345   752.007   74.7903   1   791.07   
991.881   869.882   721.769   197.717   576.463   14.9324   311.181   965.399   281.056   76.0967   386.418   775.028   1   355.068   
991.863   432.564   569.715   248.318   98.8569   620.446   45.6056   366.383   421.213   875.901   82.3972   152.737   1   536.732   
61.8856   112.082   288.738   136.676   903.151   280.619   6.55807   624.92   478.337   583.021   639.852   789.518   1   548.42   
920.908   865.615   934.839   695.936   220.682   926.702   128.5   790.397   175.019   227.356   410.842   220.625   1   593.74   
832.056   96.5261   676.137   984.792   633.258   738.023   96.8734   921.996   874.698   0.0243476   202.615   881.257   1   624.944   
680.952   464.277   264.796   470.47   12.6973   185.704   336.084   947.536   881.64   556.766   874.237   10.1387   1   347.163   
49.2565   237.495   758.006   269.881   831.235   590.061   366.408   507.371   574.853   999.666   245.394   671.726   1   921.662   
120.092   671.75   124.277   1.34784   296.694   805.229   465.625   561.49   275.698   478.322   747.194   611.783   1   425.858   
628.833   168.549   300.095   638.972   515.712   349.352   876.467   273.717   619.233   707.702   863.778   985.641   1   215.073   
438.63   985.306   460.466   110.356   906.967   580.558   782.106   31.2439   581.906   78.7999   836.473   47.5304   1   640.29   
